,productname,rating,price,offers
0,ASUS VivoBook 15 (2021) Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515JA-EJ362WS Thin and L...,4.5,"₹39,990",25% off
1,ASUS Core i3 10th Gen - (4 GB + 32 GB Optane/512 GB SSD/Windows 10 Home) X515JA-EJ372TS Thin and Light...,4.4,"₹36,990",28% off
2,ASUS ROG Strix Ryzen 7 Octa Core 4800H - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce...,4.5,"₹81,990",25% off
3,ASUS VivoBook 15 (2021) Core i3 11th Gen - (4 GB/256 GB SSD/Windows 10 Home) X515EA-EJ302TS Thin and L...,4.5,"₹36,490",25% off
4,ASUS VivoBook Ultra 14 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) X413EA-EB323TS Thin and Li...,5,"₹45,990",17% off
5,ASUS TUF Gaming F15 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce G...,4.5,"₹60,990",20% off
6,ASUS VivoBook 15 (2021) Core i5 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) X515EA-EJ502TS T...,4.4,"₹50,990",22% off
7,ASUS VivoBook Ultra 14 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) X413EA-EB513TS Thin and Li...,4.3,"₹54,990",20% off
8,ASUS VivoBook Ultra 14 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) X413EA-EB512TS Thin and Li...,4.6,"₹54,990",23% off
9,ASUS Core i3 10th Gen - (4 GB/1 TB HDD/Windows 10 Home) X509FA-BR301T Thin and Light Laptop,4.4,"₹33,990",26% off
10,ASUS VivoBook 15 Ryzen 3 Dual Core - (4 GB/256 GB SSD/Windows 10 Home) M515DA-BQ312TS Thin and Light L...,5,"₹34,990",26% off
11,ASUS Core i5 10th Gen - (8 GB + 32 GB Optane/512 GB SSD/Windows 10 Home) X515JA-EJ562TS Thin and Light...,5,"₹48,990",22% off
12,ASUS VivoBook Ultra 14 Core i5 10th Gen - (8 GB + 32 GB Optane/512 GB SSD/Windows 10 Home/2 GB Graphic...,4.4,"₹54,990",32% off
13,ASUS ASUS TUF Gaming Core i5 10th Gen - (16 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce...,5,"₹68,990",20% off
14,ASUS TUF Gaming F15 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce G...,1,"₹66,490",25% off
15,ASUS VivoBook 15 (2021) Core i3 10th Gen - (4 GB/512 GB SSD/Windows 11 Home) X515JA-EJ372WS Thin and L...,4.3,"₹36,990",24% off
16,ASUS VivoBook K15 OLED (2021) Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) K513EA-L302TS Thin ...,5,"₹45,990",20% off
17,ASUS Vivobook Pro 14 OLED (2021) Core i5 11th Gen - (16 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NV...,5,"₹74,990",26% off
18,ASUS VivoBook 14 Core i3 10th Gen - (8 GB/256 GB SSD/Windows 10 Home) X415FA-BV341T Thin and Light Lap...,4.5,"₹37,590",32% off
19,ASUS VivoBook Ultra 14 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) X413EA-EB511TS Thin and Li...,5,"₹54,990",20% off
20,ASUS VivoBook Ultra Ryzen 7 Octa Core 5700U - (8 GB/512 GB SSD/Windows 10 Home) KM413UA-EB703TS Thin a...,4,"₹63,990",24% off
21,ASUS VivoBook 15 (2021) Core i5 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515JA-EJ562WS Thin and L...,4.6,"₹49,990",27% off
22,ASUS Vivobook 14 Core i3 11th Gen - (4 GB/256 GB SSD/Windows 10 Home) X415EA-EB302TSX415EA Notebook,5,"₹36,990",32% off
23,ASUS ROG Zephyrus G14 Ryzen 7 Octa Core 4800HS - (8 GB/1 TB SSD/Windows 10 Home/4 GB Graphics/NVIDIA G...,5,"₹83,990",21% off
